ocid,id,quantity,description,unit_name,unit_scheme,unit_amount,unit_currency,classification_id,classification_scheme
ocds-5wno2w-CE-20190001725353-2464,11320-PE-C,600,RESMA DE PAPEL BOND A4 DE 75 GR*,,,2.3,USD,0,No Scheme
ocds-5wno2w-CE-20190001725354-2464,11162-PE-C,300,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS*,,,0.93,USD,0,No Scheme
ocds-5wno2w-CE-20190001725355-2464,11375-PE-C,1000,SOBRE MANILA F6*,,,0.057,USD,0,No Scheme
ocds-5wno2w-CE-20190001725356-2464,11373-PE-C,1500,SOBRE MANILA F4*,,,0.036,USD,0,No Scheme
ocds-5wno2w-CE-20190001725357-2464,11388-PE-C,32,TIJERA GRANDE DE 8 PULG.*,,,0.47,USD,0,No Scheme
ocds-5wno2w-CE-20190001725358-2464,11216-PE-C,320,ESFEROGRAFICO AZUL PUNTA FINA*,,,0.0548,USD,0,No Scheme
ocds-5wno2w-CE-20190001725359-2464,11252-PE-C,50,GOMA EN BARRA DE 40 GR*,,,0.5,USD,0,No Scheme
ocds-5wno2w-CE-20190001725360-2464,11297-PE-C,200,MARCADOR TIZA LIQUIDA PUNTA GRUESA VARIOS COLORES*,,,0.234,USD,0,No Scheme
ocds-5wno2w-CE-20190001725361-2464,11194-PE-C,50,DVD-R CON CAJA*,,,0.39,USD,0,No Scheme
ocds-5wno2w-CE-20190001725362-2464,11287-PE-C,20,LAPIZ HB CON GOMA CAJA 12 UNIDADES*,,,1.6,USD,0,No Scheme
ocds-5wno2w-CE-20190001725363-2464,11292-PE-C,26,MARCADOR PERMANENTE NEGRO PUNTA GRUESA*,,,0.54,USD,0,No Scheme
ocds-5wno2w-CE-20190001725364-96177,5808-PE-C,1040,REFRIGERIOS PARA NIÑAS Y NIÑOS,,,1.25,USD,632300021,CPC
ocds-5wno2w-CE-20190001725366-79685,6036-PE-C,52,TOALLA DE BAÑO - 100cm x 50cm,,,6.0,USD,881220013,CPC
ocds-5wno2w-CE-20190001725367-79685,12866-PE-C,1000,PAPEL HIGIENICO ESTANDAR DOBLE HOJA BLANCO 25 METROS*,,,0.5,USD,0,No Scheme
ocds-5wno2w-CE-20190001725369-79685,12946-PE-C,52,ESCOBA DE PLASTICO FIBRA SUAVE*,,,0.995,USD,0,No Scheme
ocds-5wno2w-CE-20190001725370-79685,12868-PE-C,150,PAPEL HIGIENICO JUMBO DOBLE HOJA BLANCO 250 METROS*,,,1.12,USD,0,No Scheme
ocds-5wno2w-CE-20190001725371-79685,12976-PE-C,52,TRAPEADOR DE PLANO DE 30 - 40 CM*,,,1.97,USD,0,No Scheme
ocds-5wno2w-CE-20190001725372-79685,12922-PE-C,80,"FUNDA DE BASURA SEMINDUSTRIAL NEGRA 30""X36*",,,0.645,USD,0,No Scheme
ocds-5wno2w-CE-20190001725373-79685,12889-PE-C,54,DESINFECTANTE AMONIO CUATERNARIO GALÓN*,,,1.56,USD,0,No Scheme
ocds-5wno2w-CE-20190001725374-79685,12942-PE-C,52,GUANTES DE CAUCHO NO 7 Y MEDIO BICOLOR*,,,1.3,USD,0,No Scheme
ocds-5wno2w-CE-20190001725375-79685,12974-PE-C,32,JABÓN LÍQUIDO PARA RECARGAR GALÓN*,,,1.97,USD,0,No Scheme
ocds-5wno2w-CE-20190001725376-79685,12896-PE-C,64,DETERGENTE EN POLVO FUNDA DE 2 KG*,,,2.65,USD,0,No Scheme
ocds-5wno2w-CE-20190001725377-2810,7129-PE-C,330000,Calcitriol,,,0.08,USD,3525011079,CPC
ocds-5wno2w-CE-20190001725378-405532,7716-PE-C,20,"CABLE DE COBRE CABLEADO, 600 V, THHN, 2/0 AWG 19 HILOS",,,6.138,USD,0,No Scheme
ocds-5wno2w-CE-20190001725379-405532,7747-PE-C,226,"CONDUCTOR DE COBRE, DESNUDO CABLEADO SUAVE, 4 AWG 7 HILOS",,,1.755,USD,0,No Scheme
ocds-5wno2w-CE-20190001725380-405532,7783-PE-C,860,"CONDUCTOR DE CU CONCENTRICO, TIPO ST-THHN, CALIBRE 3 X 10 AWG",,,1.911,USD,0,No Scheme
ocds-5wno2w-CE-20190001725735-102124,7356-PE-C,1890,Fluoxetina,,,0.016,USD,3525011204,CPC
ocds-5wno2w-CE-20190001725381-405532,7950-PE-C,1520,CABLE DE CU CABLEADO 2000 V TTU 350MCM 37 HILOS,,,16.77,USD,0,No Scheme
ocds-5wno2w-CE-20190001725382-405532,7711-PE-C,1686,"CABLE DE COBRE CABLEADO, 600 V, THHN, 8 AWG, 7 HILOS",,,0.83,USD,0,No Scheme
ocds-5wno2w-CE-20190001725383-405532,7712-PE-C,313,"CABLE DE COBRE CABLEADO, 600 V, THHN, 6 AWG, 7 HILOS",,,1.257,USD,0,No Scheme
ocds-5wno2w-CE-20190001725384-405532,7715-PE-C,140,"CABLE DE COBRE CABLEADO, 600 V, THHN, 1/0 AWG 19 HILOS",,,4.942,USD,0,No Scheme
ocds-5wno2w-CE-20190001725385-405532,7949-PE-C,300,CABLE DE CU CABLEADO 2000 V TTU 300MCM 37 HILOS,,,17.4299,USD,0,No Scheme
ocds-5wno2w-CE-20190001725386-405532,7945-PE-C,84,CABLE DE CU CABLEADO 2000 V TTU 2/0AWG 19 HILOS,,,6.67,USD,0,No Scheme
ocds-5wno2w-CE-20190001725387-405532,7946-PE-C,360,CABLE DE CU CABLEADO 2000 V TTU 3/0AWG 19 HILOS,,,7.812,USD,0,No Scheme
ocds-5wno2w-CE-20190001725389-405532,7944-PE-C,460,CABLE DE CU CABLEADO 2000 V TTU 1/0AWG 19 HILOS,,,4.962,USD,0,No Scheme
ocds-5wno2w-CE-20190001725390-405532,7787-PE-C,950,"CONDUCTOR DE CU CONCENTRICO, TIPO ST-THHN, CALIBRE 3 X 12 AWG",,,1.171,USD,0,No Scheme
ocds-5wno2w-CE-20190001725391-405532,7812-PE-C,340,"CONDUCTOR DE CU CONCENTRICO, TIPO ST-THHN, CALIBRE 3 X 14 AWG UNILAY, 19 HILOS",,,0.796,USD,0,No Scheme
ocds-5wno2w-CE-20190001725392-405532,7718-PE-C,120,"CABLE DE COBRE CABLEADO, 600 V, THHN, 4/0 AWG 19 HILOS",,,11.7,USD,0,No Scheme
ocds-5wno2w-CE-20190001725393-405532,7811-PE-C,390,"CONDUCTOR DE CU CONCENTRICO, TIPO ST-THHN, CALIBRE 2 X 14 AWG UNILAY, 19 HILOS",,,0.597,USD,0,No Scheme
ocds-5wno2w-CE-20190001725394-35945,11162-PE-C,600,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS*,,,1.02,USD,0,No Scheme
ocds-5wno2w-CE-20190001725395-35945,11161-PE-C,200,ARCHIVADORES TAMANO OFICIO LOMO 4 CMS*,,,1.05,USD,0,No Scheme
ocds-5wno2w-CE-20190001725396-35945,11391-PE-C,50,TINTA CORRECTORA TIPO ESFERO*,,,0.22,USD,0,No Scheme
ocds-5wno2w-CE-20190001725397-35945,11358-PE-C,50,SACAGRAPAS*,,,0.23,USD,0,No Scheme
ocds-5wno2w-CE-20190001725398-35945,11382-PE-C,60,TABLA PARA APUNTES (APOYAMANOS) MADERA*,,,0.9,USD,0,No Scheme
ocds-5wno2w-CE-20190001725399-35945,11203-PE-C,50,CLIPS STANDAR 32 MM METALICOS*,,,0.12,USD,0,No Scheme
ocds-5wno2w-CE-20190001725400-35945,11204-PE-C,50,CLIPS STANDAR 43 MM METALICOS*,,,0.38,USD,0,No Scheme
ocds-5wno2w-CE-20190001725401-35945,11341-PE-C,50,PORTA CLIPS MAGNÉTICOS*,,,0.33,USD,0,No Scheme
ocds-5wno2w-CE-20190001725402-35945,11388-PE-C,50,TIJERA GRANDE DE 8 PULG.*,,,0.48,USD,0,No Scheme
ocds-5wno2w-CE-20190001725403-35945,11208-PE-C,15,CUADERNO ESPIRAL UNIVERSITARIO CUADROS 100 HOJAS*,,,0.74,USD,0,No Scheme
ocds-5wno2w-CE-20190001725404-35945,11206-PE-C,20,CUADERNO ESPIRAL PEQUEÑO CUADROS 100 HOJAS*,,,0.47,USD,0,No Scheme
ocds-5wno2w-CE-20190001725405-35945,11320-PE-C,1000,RESMA DE PAPEL BOND A4 DE 75 GR*,,,2.354,USD,0,No Scheme
ocds-5wno2w-CE-20190001725406-35945,11258-PE-C,30,GRAPADORA NORMAL METALICA GRANDE*,,,3.2,USD,0,No Scheme
ocds-5wno2w-CE-20190001725407-35945,11279-PE-C,30,LIBROS DE ACTAS (BITACORA) DE 200 HOJAS*,,,2.69,USD,0,No Scheme
ocds-5wno2w-CE-20190001725408-35945,11369-PE-C,100,SEÑALADORES TIPO BANDERITAS*,,,0.21,USD,0,No Scheme
ocds-5wno2w-CE-20190001725409-35945,11299-PE-C,50,CINTA ADHESIVA TRANSPARENTE 18 X 25 YDAS*,,,0.1925,USD,0,No Scheme
ocds-5wno2w-CE-20190001725410-35945,11302-PE-C,150,CINTA DE EMPAQUE 48X80 YDAS COLOR TRANSPARENTE*,,,0.38,USD,0,No Scheme
ocds-5wno2w-CE-20190001725411-35945,11373-PE-C,300,SOBRE MANILA F4*,,,0.04,USD,0,No Scheme
ocds-5wno2w-CE-20190001725412-35945,11322-PE-C,10,PAPELERA METÁLICA 2 SERVICIOS*,,,4.65,USD,0,No Scheme
ocds-5wno2w-CE-20190001725413-35945,11343-PE-C,30,"PORTAMINAS METALICO 0,5 MM*",,,0.33,USD,0,No Scheme
ocds-5wno2w-CE-20190001725414-35945,11306-PE-C,30,MINAS 0.5 MM*,,,0.13,USD,0,No Scheme
ocds-5wno2w-CE-20190001725415-35945,11241-PE-C,100,NOTAS ADHESIVAS GRANDES 3X3 PULG*,,,0.17,USD,0,No Scheme
ocds-5wno2w-CE-20190001725416-35945,11252-PE-C,30,GOMA EN BARRA DE 40 GR*,,,0.8,USD,0,No Scheme
ocds-5wno2w-CE-20190001725417-35945,11253-PE-C,30,GOMA LIQUIDA 250 GR*,,,0.399,USD,0,No Scheme
ocds-5wno2w-CE-20190001725418-35945,11216-PE-C,750,ESFEROGRAFICO AZUL PUNTA FINA*,,,0.0648,USD,0,No Scheme
ocds-5wno2w-CE-20190001725419-35945,11292-PE-C,30,MARCADOR PERMANENTE NEGRO PUNTA GRUESA*,,,0.5,USD,0,No Scheme
ocds-5wno2w-CE-20190001725420-35945,11368-PE-C,300,SEPARADORES PLASTICOS A4 FUNDA NUMERICA 1-31*,,,1.837,USD,0,No Scheme
ocds-5wno2w-CE-20190001725421-35945,11152-PE-C,50,APRIETA PAPELES TIPO PINZA 25 MM*,,,0.5,USD,0,No Scheme
ocds-5wno2w-CE-20190001725422-35945,11154-PE-C,30,APRIETA PAPELES TIPO PINZA 41 MM*,,,1.0,USD,0,No Scheme
ocds-5wno2w-CE-20190001725423-35945,11155-PE-C,30,APRIETA PAPELES TIPO PINZA 51 MM*,,,1.45,USD,0,No Scheme
ocds-5wno2w-CE-20190001725424-35945,11355-PE-C,150,ROLLO DE PAPEL QUÍMICO 75 MMX29M CON COPIA*,,,0.73,USD,0,No Scheme
ocds-5wno2w-CE-20190001725425-74130,11358-PE-C,2,SACAGRAPAS*,,,0.23,USD,0,No Scheme
ocds-5wno2w-CE-20190001725426-74130,11352-PE-C,10,REGLA PLÁSTICA 30 CM*,,,0.144,USD,0,No Scheme
ocds-5wno2w-CE-20190001725427-74130,11259-PE-C,4,GRAPADORA NORMAL METALICA MEDIANA*,,,2.3,USD,0,No Scheme
ocds-5wno2w-CE-20190001725428-74130,11258-PE-C,2,GRAPADORA NORMAL METALICA GRANDE*,,,3.2,USD,0,No Scheme
ocds-5wno2w-CE-20190001725429-74130,11178-PE-C,100,CARPETAS FOLDER DE CARTULINA MANILA (VINCHA INCLUIDA)*,,,0.058,USD,0,No Scheme
ocds-5wno2w-CE-20190001725430-74130,11304-PE-C,2,MASKING DE 2 PULG. X 40 YARDAS MULTIUSO*,,,0.78,USD,0,No Scheme
ocds-5wno2w-CE-20190001725431-74130,11301-PE-C,5,CINTA DE EMPAQUE 48X80 YDAS COLOR CAFÉ*,,,0.38,USD,0,No Scheme
ocds-5wno2w-CE-20190001725432-74130,11382-PE-C,12,TABLA PARA APUNTES (APOYAMANOS) MADERA*,,,0.9,USD,0,No Scheme
ocds-5wno2w-CE-20190001725433-74130,11216-PE-C,197,ESFEROGRAFICO AZUL PUNTA FINA*,,,0.0648,USD,0,No Scheme
ocds-5wno2w-CE-20190001725434-74130,11365-PE-C,3,SEPARADORES PLÁSTICOS A4 FUNDA 10 U*,,,0.31,USD,0,No Scheme
ocds-5wno2w-CE-20190001725435-74130,11388-PE-C,2,TIJERA GRANDE DE 8 PULG.*,,,0.47,USD,0,No Scheme
ocds-5wno2w-CE-20190001725436-74130,11328-PE-C,4,PERFORADORA DE ESCRITORIO GRANDE*,,,3.0,USD,0,No Scheme
ocds-5wno2w-CE-20190001725437-74130,11374-PE-C,200,SOBRE MANILA F5*,,,0.05,USD,0,No Scheme
ocds-5wno2w-CE-20190001725438-74130,11208-PE-C,9,CUADERNO ESPIRAL UNIVERSITARIO CUADROS 100 HOJAS*,,,0.75,USD,0,No Scheme
ocds-5wno2w-CE-20190001725439-74130,11203-PE-C,6,CLIPS STANDAR 32 MM METALICOS*,,,0.14,USD,0,No Scheme
ocds-5wno2w-CE-20190001725440-74130,11162-PE-C,14,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS*,,,1.03,USD,0,No Scheme
ocds-5wno2w-CE-20190001725441-74130,11320-PE-C,74,RESMA DE PAPEL BOND A4 DE 75 GR*,,,2.44,USD,0,No Scheme
ocds-5wno2w-CE-20190001725442-74130,11169-PE-C,82,BORRADOR (GRANDE) PARA LAPIZ*,,,0.07,USD,0,No Scheme
ocds-5wno2w-CE-20190001725443-74130,11360-PE-C,2,SACAPUNTAS PEQUENO METALICO 1 SERVICIO*,,,0.062,USD,0,No Scheme
ocds-5wno2w-CE-20190001725444-74130,11287-PE-C,5,LAPIZ HB CON GOMA CAJA 12 UNIDADES*,,,1.79,USD,0,No Scheme
ocds-5wno2w-CE-20190001725445-74130,11269-PE-C,7,GRAPAS 23/6 CAJA DE 1000 U*,,,0.57,USD,0,No Scheme
ocds-5wno2w-CE-20190001725446-74130,11215-PE-C,20,BOLÍGRAFO TIPO GEL VARIOS COLORES*,,,0.3,USD,0,No Scheme
ocds-5wno2w-CE-20190001725447-74130,11292-PE-C,8,MARCADOR PERMANENTE NEGRO PUNTA GRUESA*,,,0.54,USD,0,No Scheme
ocds-5wno2w-CE-20190001725448-74130,11238-PE-C,4,ETIQUETAS ADHESIVAS 8.6 X 1.50 T-22*,,,0.22,USD,0,No Scheme
ocds-5wno2w-CE-20190001725449-128501,12854-PE-C,2,"TACHO DE BASURA INDUSTRIAL PUNTO ECOLÓGICO (AZUL, NEGRO, VERDE) DE 50 LITROS*",,,127.965,USD,0,No Scheme
ocds-5wno2w-CE-20190001725450-128501,12842-PE-C,25,AMBIENTAL EN PASTILLAS UNIDAD*,,,0.47,USD,0,No Scheme
ocds-5wno2w-CE-20190001725451-128501,12860-PE-C,10,SHAMPOO PARA AUTOS GALON*,,,3.26,USD,0,No Scheme
ocds-5wno2w-CE-20190001725452-128501,12896-PE-C,12,DETERGENTE EN POLVO FUNDA DE 2 KG*,,,3.4,USD,0,No Scheme
ocds-5wno2w-CE-20190001725453-128501,12868-PE-C,50,PAPEL HIGIENICO JUMBO DOBLE HOJA BLANCO 250 METROS*,,,1.13,USD,0,No Scheme
ocds-5wno2w-CE-20190001725454-128501,12922-PE-C,15,"FUNDA DE BASURA SEMINDUSTRIAL NEGRA 30""X36*",,,0.8,USD,0,No Scheme
ocds-5wno2w-CE-20190001725456-2692,12911-PE-C,14,LIQUIDO PARA LIMPIAR VIDRIOS LITRO*,,,0.98,USD,0,No Scheme
ocds-5wno2w-CE-20190001725457-2692,12850-PE-C,10,TACHO DE BASURA CON TAPA Y PEDAL ROJO 24 LT*,,,15.095,USD,0,No Scheme
ocds-5wno2w-CE-20190001725458-2692,12946-PE-C,22,ESCOBA DE PLASTICO FIBRA SUAVE*,,,1.04,USD,0,No Scheme
ocds-5wno2w-CE-20190001725459-2692,12978-PE-C,14,TRAPEADOR REDONDO DE 24-30 CM*,,,1.47,USD,0,No Scheme
ocds-5wno2w-CE-20190001725460-2692,12830-PE-C,10,RECOGEDOR DE BASURA*,,,0.895,USD,0,No Scheme
ocds-5wno2w-CE-20190001725461-2692,12870-PE-C,135,PAPEL HIGIENICO JUMBO HOJA SIMPLE BLANCO 550 METROS*,,,2.7,USD,0,No Scheme
ocds-5wno2w-CE-20190001725462-2692,12872-PE-C,15,PAPEL TOALLA DE MANOS BLANCO EN Z 150 UNIDADES*,,,0.845,USD,0,No Scheme
ocds-5wno2w-CE-20190001725463-2692,12944-PE-C,18,GUANTES DE CAUCHO NO 8 BICOLOR*,,,0.99,USD,0,No Scheme
ocds-5wno2w-CE-20190001725464-2692,12962-PE-C,8,REPUESTO DE TRAPEO (MOPA) DE 64 CM*,,,6.0,USD,0,No Scheme
ocds-5wno2w-CE-20190001725465-2692,12828-PE-C,17,GEL ALCOHOL ANTISÉPTICO GALÓN*,,,6.5,USD,3529010431,CPC
ocds-5wno2w-CE-20190001725466-2692,12832-PE-C,22,AMBIENTAL CONCENTRADO LIQUIDO CANECA*,,,9.91,USD,0,No Scheme
ocds-5wno2w-CE-20190001725468-2692,12969-PE-C,14,"SET DE MOPA (MANGO, BASE, MOPA) DE 64 CM*",,,15.65,USD,0,No Scheme
ocds-5wno2w-CE-20190001725469-2692,12967-PE-C,8,INSECTICIDA GALON,,,29.8,USD,0,No Scheme
ocds-5wno2w-CE-20190001725470-2692,12888-PE-C,25,DESINFECTANTE AMONIO CUATERNARIO CANECA*,,,7.89,USD,0,No Scheme
ocds-5wno2w-CE-20190001725471-2692,12895-PE-C,15,DETERGENTE EN POLVO FUNDA DE 15 KG*,,,22.56,USD,0,No Scheme
ocds-5wno2w-CE-20190001725472-2692,12974-PE-C,24,JABÓN LÍQUIDO PARA RECARGAR GALÓN*,,,1.95,USD,0,No Scheme
ocds-5wno2w-CE-20190001725474-2810,7317-PE-C,36000,Ciclosporina,,,0.94,USD,3525011098,CPC
ocds-5wno2w-CE-20190001725475-54146,8603-PE-C,50,ESTANTERÍA METÁLICA (2200mm de alto X 1000mm de ancho X 300mm de fondo),,,115.59,USD,381401911,CPC
ocds-5wno2w-CE-20190001725476-2810,7448-PE-C,24000,Ciclosporina,,,0.335,USD,3525011096,CPC
ocds-5wno2w-CE-20190001725477-35945,12938-PE-C,100,ESCOBA DE MADERA FIBRA DE COCO DE 30 CM*,,,1.98,USD,0,No Scheme
ocds-5wno2w-CE-20190001725478-35945,12976-PE-C,24,TRAPEADOR DE PLANO DE 30 - 40 CM*,,,4.8,USD,0,No Scheme
ocds-5wno2w-CE-20190001725479-35945,11245-PE-C,20,FLASH MEMORY 16 GB*,,,3.6,USD,0,No Scheme
ocds-5wno2w-CE-20190001725481-51587,7038-PE-C,110,"MANDIL PARA USO MÈDICO, LABORATORIO Y OTROS",,,16.75,USD,881220013,CPC
ocds-5wno2w-CE-20190001725482-51587,7037-PE-C,115,CONJUNTO   DE   VESTIR  PARA  ENFERMERO/A   Y   TECNÓLOGO/A MÉDICO,,,23.17,USD,881220013,CPC
ocds-5wno2w-CE-20190001725483-748941,10053-PE-C,1900,Latanoprost,,,0.59,USD,3525015169,CPC
ocds-5wno2w-CE-20190001725484-22651,11320-PE-C,400,RESMA DE PAPEL BOND A4 DE 75 GR*,,,2.45,USD,0,No Scheme
ocds-5wno2w-CE-20190001725485-22651,11208-PE-C,10,CUADERNO ESPIRAL UNIVERSITARIO CUADROS 100 HOJAS*,,,0.75,USD,0,No Scheme
ocds-5wno2w-CE-20190001725486-22651,11369-PE-C,20,SEÑALADORES TIPO BANDERITAS*,,,0.22,USD,0,No Scheme
ocds-5wno2w-CE-20190001725736-102124,10048-PE-C,13200,Gabapentina,,,0.04,USD,3525015129,CPC
ocds-5wno2w-CE-20190001725487-22651,11365-PE-C,10,SEPARADORES PLÁSTICOS A4 FUNDA 10 U*,,,0.31,USD,0,No Scheme
ocds-5wno2w-CE-20190001725488-22651,11189-PE-C,500,CARTULINA A 4 VARIOS COLORES*,,,0.349,USD,0,No Scheme
ocds-5wno2w-CE-20190001725489-22651,11162-PE-C,100,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS*,,,1.02,USD,0,No Scheme
ocds-5wno2w-CE-20190001725490-22651,11158-PE-C,30,ARCHIVADOR DE CARTON NO. 15 CON TAPA*,,,1.1,USD,0,No Scheme
ocds-5wno2w-CE-20190001725491-22651,11240-PE-C,15,"NOTAS ADHESIVAS CUBO DE 5 COLORES 3X3""*",,,1.4,USD,0,No Scheme
ocds-5wno2w-CE-20190001725492-22651,11299-PE-C,45,CINTA ADHESIVA TRANSPARENTE 18 X 25 YDAS*,,,0.1925,USD,0,No Scheme
ocds-5wno2w-CE-20190001725493-22651,11305-PE-C,45,MASKING DE 3/4 PULG. X 40 YARDAS MULTIUSO*,,,0.32,USD,0,No Scheme
ocds-5wno2w-CE-20190001725494-22651,11217-PE-C,100,ESFEROGRAFICO AZUL PUNTA MEDIA*,,,0.055,USD,0,No Scheme
ocds-5wno2w-CE-20190001725495-22651,11318-PE-C,75,PAPEL PERIODICO 65X90 CM*,,,14.2,USD,0,No Scheme
ocds-5wno2w-CE-20190001725496-22651,11178-PE-C,1500,CARPETAS FOLDER DE CARTULINA MANILA (VINCHA INCLUIDA)*,,,0.0544,USD,0,No Scheme
ocds-5wno2w-CE-20190001725497-22651,11177-PE-C,1500,CARPETA FOLDER DE CARTULINA KRAFT (VINCHA INCLUIDA)*,,,0.0599,USD,0,No Scheme
ocds-5wno2w-CE-20190001725498-22651,11374-PE-C,100,SOBRE MANILA F5*,,,0.05,USD,0,No Scheme
ocds-5wno2w-CE-20190001725499-22651,11373-PE-C,100,SOBRE MANILA F4*,,,0.04,USD,0,No Scheme
ocds-5wno2w-CE-20190001725500-22651,11233-PE-C,10,ETIQUETAS ADHESIVAS 10 X 5.95 T-11*,,,0.21,USD,0,No Scheme
ocds-5wno2w-CE-20190001725501-22651,11291-PE-C,70,MARCADOR PERMANENTE AZUL PUNTA GRUESA*,,,0.44,USD,0,No Scheme
ocds-5wno2w-CE-20190001725502-22651,11297-PE-C,100,MARCADOR TIZA LIQUIDA PUNTA GRUESA VARIOS COLORES*,,,0.52,USD,0,No Scheme
ocds-5wno2w-CE-20190001725503-22651,11293-PE-C,70,MARCADOR PERMANENTE ROJO PUNTA GRUESA*,,,0.55,USD,0,No Scheme
ocds-5wno2w-CE-20190001725504-22651,11292-PE-C,70,MARCADOR PERMANENTE NEGRO PUNTA GRUESA*,,,0.54,USD,0,No Scheme
ocds-5wno2w-CE-20190001725505-22651,11294-PE-C,70,MARCADOR PERMANENTE VERDE PUNTA GRUESA*,,,0.557,USD,0,No Scheme
ocds-5wno2w-CE-20190001725506-182111,6085-PE-C,300,GORRA - TEJIDO PLANO,,,2.59,USD,881220011,CPC
ocds-5wno2w-CE-20190001725507-182111,7910-PE-C,381,CAMISETA INTERNA,,,4.29,USD,881220011,CPC
ocds-5wno2w-CE-20190001725508-182111,6085-PE-C,81,GORRA - TEJIDO PLANO,,,2.59,USD,881220011,CPC
ocds-5wno2w-CE-20190001725509-182111,6120-PE-C,381,UNIFORME DEPORTIVO- CALENTADOR EXTERIOR,,,26.04,USD,881220011,CPC
ocds-5wno2w-CE-20190001725510-41973,11328-PE-C,12,PERFORADORA DE ESCRITORIO GRANDE*,,,4.5,USD,0,No Scheme
ocds-5wno2w-CE-20190001725511-41973,11389-PE-C,14,TIJERAS MEDIANAS DE 6 PULGADAS*,,,0.35,USD,0,No Scheme
ocds-5wno2w-CE-20190001725512-41973,11388-PE-C,10,TIJERA GRANDE DE 8 PULG.*,,,0.56,USD,0,No Scheme
ocds-5wno2w-CE-20190001725513-41973,11274-PE-C,69,GRAPAS 26/6 CAJA DE 5000 U*,,,0.44,USD,0,No Scheme
ocds-5wno2w-CE-20190001725514-41973,11203-PE-C,82,CLIPS STANDAR 32 MM METALICOS*,,,0.14,USD,0,No Scheme
ocds-5wno2w-CE-20190001725515-41973,11201-PE-C,12,CLIPS STANDAR 25 MM METALICOS*,,,0.24,USD,0,No Scheme
ocds-5wno2w-CE-20190001725516-41973,11200-PE-C,18,CLIPS MARIPOSA CAJA DE 50 UNIDADES*,,,0.4,USD,0,No Scheme
ocds-5wno2w-CE-20190001725517-41973,11216-PE-C,162,ESFEROGRAFICO AZUL PUNTA FINA*,,,0.07,USD,0,No Scheme
ocds-5wno2w-CE-20190001725518-41973,11218-PE-C,53,ESFEROGRAFICO NEGRO PUNTA FINA*,,,0.07,USD,0,No Scheme
ocds-5wno2w-CE-20190001725519-41973,11306-PE-C,2,MINAS 0.5 MM*,,,0.14,USD,0,No Scheme
ocds-5wno2w-CE-20190001725520-41973,11258-PE-C,16,GRAPADORA NORMAL METALICA GRANDE*,,,4.3,USD,0,No Scheme
ocds-5wno2w-CE-20190001725521-41973,11255-PE-C,7,GRAPADORA INDUSTRIAL PARA 100 HOJAS*,,,11.9,USD,0,No Scheme
ocds-5wno2w-CE-20190001725522-41973,11374-PE-C,55,SOBRE MANILA F5*,,,0.053,USD,0,No Scheme
ocds-5wno2w-CE-20190001725523-41973,11332-PE-C,2,PERFORADORA SEMINDUSTRIAL 100 HOJAS*,,,30.0,USD,0,No Scheme
ocds-5wno2w-CE-20190001725524-41973,11352-PE-C,6,REGLA PLÁSTICA 30 CM*,,,0.145,USD,0,No Scheme
ocds-5wno2w-CE-20190001725525-41973,11222-PE-C,10,ESPIRALES A-4 DE 12 MM PAQUETE X 50U*,,,1.02,USD,0,No Scheme
ocds-5wno2w-CE-20190001725526-41973,11206-PE-C,20,CUADERNO ESPIRAL PEQUEÑO CUADROS 100 HOJAS*,,,0.55,USD,0,No Scheme
ocds-5wno2w-CE-20190001725527-41973,11208-PE-C,16,CUADERNO ESPIRAL UNIVERSITARIO CUADROS 100 HOJAS*,,,0.85,USD,0,No Scheme
ocds-5wno2w-CE-20190001725528-41973,11392-PE-C,3,TINTA PARA ALMOHADILLA Y SELLO AZUL / NEGRA / VIOLETA / ROJA*,,,0.24,USD,0,No Scheme
ocds-5wno2w-CE-20190001725529-41973,11146-PE-C,1,AGUZADOR MANUAL PEQUEÑO*,,,3.3,USD,0,No Scheme
ocds-5wno2w-CE-20190001725530-41973,11373-PE-C,38,SOBRE MANILA F4*,,,0.045,USD,0,No Scheme
ocds-5wno2w-CE-20190001725531-41973,11320-PE-C,687,RESMA DE PAPEL BOND A4 DE 75 GR*,,,2.93,USD,0,No Scheme
ocds-5wno2w-CE-20190001725532-41973,11252-PE-C,35,GOMA EN BARRA DE 40 GR*,,,0.85,USD,0,No Scheme
ocds-5wno2w-CE-20190001725533-41973,11253-PE-C,20,GOMA LIQUIDA 250 GR*,,,0.42,USD,0,No Scheme
ocds-5wno2w-CE-20190001725534-41973,11372-PE-C,29,SOBRE MANILA F3*,,,0.037,USD,0,No Scheme
ocds-5wno2w-CE-20190001725535-41973,11370-PE-C,4,SOBRE MANILA F1*,,,0.025,USD,0,No Scheme
ocds-5wno2w-CE-20190001725536-41973,11391-PE-C,36,TINTA CORRECTORA TIPO ESFERO*,,,0.23,USD,0,No Scheme
ocds-5wno2w-CE-20190001725537-41973,11232-PE-C,52,ESTILETE (REFORZADO PUNTA METALICA)*,,,0.45,USD,0,No Scheme
ocds-5wno2w-CE-20190001725538-41973,11211-PE-C,17,CUCHILLAS PARA ESTILETE (REPUESTO) PEQUEÑO 10U*,,,0.53,USD,0,No Scheme
