procuringEntity_name,Sector,NF003,NF010,NF016,NF018,NF026,NF027,NF031,NF042,NF044,NF047,NF059,NF061,NF062,NF063,RF cases,Total cases,Total RF,Relacion contratos,Densidad RF
CORPORACION FINANCIERA NACIONAL B.P.,Financiero,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,2,0.6666666666666666,1.0
CORPORACION NACIONAL DE TELECOMUNICACIONES,Telecomunicaciones,0,0,0,0,0,0,0,4,0,9,0,0,0,0,11,13,13,0.8461538461538461,1.1818181818181819
CORPORACION PARA LA SEGURIDAD CIUDADANA DE GUAYAQUIL,Seguridad,0,0,0,0,0,0,0,1,0,5,0,0,0,0,5,6,6,0.8333333333333334,1.2
CORPORACIÓN NACIONAL DE FINANZAS POPULARES Y SOLIDARIAS,Financiero,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,4,4,0.25,4.0
CUERPO DE BOMBEROS DE ECHEANDIA,Cuerpo de Bomberos,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4,13,4,0.3076923076923077,1.0
CUERPO DE BOMBEROS DE EL CHACO,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CUERPO DE BOMBEROS DE LOJA,Cuerpo de Bomberos,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,1.0,2.0
CUERPO DE BOMBEROS DE MARCELINO MARIDUEÑA,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,1.0,1.0
CUERPO DE BOMBEROS DE PIMAMPIRO,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,1.0,1.0
CUERPO DE BOMBEROS DE RIOBAMBA,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,1.0,1.0
CUERPO DE BOMBEROS DE SALINAS,Cuerpo de Bomberos,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,1,0.1111111111111111,1.0
CUERPO DE BOMBEROS DE SAMBORONDON,Cuerpo de Bomberos,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1.0,1.0
CUERPO DE BOMBEROS DE SAN MIGUEL DE LOS BANCOS,Cuerpo de Bomberos,0,0,0,0,0,0,0,6,0,2,0,0,0,0,6,34,8,0.17647058823529413,1.3333333333333333
CUERPO DE BOMBEROS DE SANTA ELENA,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,2,0.4,1.0
CUERPO DE BOMBEROS DE SHUSHUFINDI,Cuerpo de Bomberos,1,0,0,0,0,0,0,1,0,7,0,0,0,0,8,22,9,0.36363636363636365,1.125
CUERPO DE BOMBEROS DEL CANTON BUENA FE,Cuerpo de Bomberos,0,0,0,0,0,0,0,2,0,5,0,0,0,0,5,13,7,0.38461538461538464,1.4
CUERPO DE BOMBEROS DEL CANTON CHILLANES,Cuerpo de Bomberos,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5,19,5,0.2631578947368421,1.0
CUERPO DE BOMBEROS DEL CANTON EL PANGUI,Cuerpo de Bomberos,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,11,4,0.36363636363636365,1.0
CUERPO DE BOMBEROS DEL CANTON LA MANA,Cuerpo de Bomberos,0,0,0,0,0,0,0,9,0,3,0,0,0,0,12,40,12,0.3,1.0
CUERPO DE BOMBEROS DEL CANTON LAGO AGRIO,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,29,10,0.3448275862068966,1.0
CUERPO DE BOMBEROS DEL CANTON MONTUFAR,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CUERPO DE BOMBEROS DEL CANTON PONCE ENRIQUEZ,Cuerpo de Bomberos,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,7,4,0.2857142857142857,2.0
CUERPO DE BOMBEROS DEL CANTON SALCEDO,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,3,0.5,1.0
CUERPO DE BOMBEROS DEL CANTÓN CASCALES,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CUERPO DE BOMBEROS DEL CANTÓN OTAVALO,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1.0,1.0
CUERPO DE BOMBEROS DEL DISTRITO METROPOLITANO DE QUITO,Cuerpo de Bomberos,0,0,0,0,0,0,0,13,0,16,0,0,0,0,20,20,29,1.0,1.45
CUERPO DE BOMBEROS DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE SANTO DOMINGO,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CUERPO DE BOMBEROS DEL GOBIERNO MUNICIPAL DEL CANTON MORONA,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,0.25,1.0
CUERPO DE BOMBEROS MUNICIPAL DEL CANTON SANTA ROSA,Cuerpo de Bomberos,0,0,0,0,0,0,0,3,0,6,0,0,0,0,9,18,9,0.5,1.0
CUERPO DE BOMBEROS SANTIAGO DE PILLARO,Cuerpo de Bomberos,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,3,1.0,3.0
CUERPO DE INGENIEROS DEL EJERCITO,Defensa Nacional,0,0,0,0,0,0,0,15,0,18,0,0,0,0,18,18,33,1.0,1.8333333333333333
CUERPO DE INGENIEROS DEL EJERCITO  ,Defensa Nacional,2,0,0,2,3,2,1,12,0,22,0,0,2,0,36,86,46,0.4186046511627907,1.2777777777777777
CASA DE LA CULTURA NÚCLEO DE ESMERALDAS,Cultural,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,8,2,0.25,1.0
CENTRO INTERAMERICANO DE ARTESANÍAS Y ARTES POPULARES CIDAP,Comercio,4,0,0,1,0,0,0,1,0,4,0,0,3,0,6,6,13,1.0,2.1666666666666665
CENTRO MÉDICO ASDRUBAL DE LA TORRE,Salud,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,2,0.4,1.0
CENTRO DE REHABILITACION INTEGRAL ESPECIALIZADO AZOGUES,Salud,0,0,0,0,0,0,0,41,0,24,0,0,0,0,56,80,65,0.7,1.1607142857142858
COMANDO CANTONAL DE POLICÍA MANTA,Seguridad,1,0,0,1,1,0,0,1,0,3,0,0,3,0,3,3,10,1.0,3.3333333333333335
COMANDO PROVINCIAL POLICÍA TUNGURAHUA NRO. 9,Seguridad,3,0,0,0,0,0,0,0,0,2,0,1,3,0,3,3,9,1.0,3.0
COMANDO PROVINCIAL DE POLICÌA MANABÌ NO. 4,Seguridad,0,0,0,3,0,0,0,1,0,4,0,1,4,0,4,4,13,1.0,3.25
CONCENTRACIÓN DEPORTIVA DE PICHINCHA,Deporte,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,19,8,0.42105263157894735,1.0
CONSEJO NACIONAL DE SALUD,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CONSEJO DE SEGURIDAD CIUDADANA DEL CANTÓN CUENCA,Jurisdiccional,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2,1.0,1.0
CONSEJO DE LA JUDICATURA,Jurisdiccional,0,0,0,0,0,0,0,4,0,5,0,0,0,0,5,7,9,0.7142857142857143,1.8
CONSORCIO DE MUNICIPIOS AMAZÓNICOS Y GALÁPAGOS,GAD Municipal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
COORDINACION ZONAL 9 INSPI - LIP,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
"COORDINACIÓN ZONAL 1DEL REGISTRO CIVIL, IDENTIFICACIÓN Y CEDULACIÓN",Administrativo,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,1.0,1.0
COORDINACIÓN DE EDUCACIÓN ZONAL 6,Educacion,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,2,0.6666666666666666,1.0
CORPORACION REGISTRO CIVIL DE GUAYAQUIL,Administrativo,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,1.0,1.0
CORPORACIÓN AEROPORTUARIA DE CUENCA,Aeroportuario,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0.5,1.0
CUARTEL DEL GRUPO DE TRANSITO NORTE,Transporte,3,0,0,0,2,1,0,2,0,2,0,0,2,0,3,3,12,1.0,4.0
CUERPO DE BOMBEROS DE BAÑOS DE AGUA SANTA,Cuerpo de Bomberos,0,0,0,0,0,0,0,2,0,8,0,0,0,0,10,23,10,0.43478260869565216,1.0
CUERPO DE BOMBEROS DE GUAMOTE,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CUERPO DE BOMBEROS DE IBARRA,Cuerpo de Bomberos,1,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,6,1.0,1.2
CUERPO DE BOMBEROS DE MANTA,Cuerpo de Bomberos,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,4,3,0.5,1.5
CUERPO DE BOMBEROS DE PASTAZA,Cuerpo de Bomberos,0,0,0,0,0,0,0,5,0,9,0,0,0,0,11,23,14,0.4782608695652174,1.2727272727272727
CUERPO DE BOMBEROS DE PAUTE,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CUERPO DE BOMBEROS DE QUEVEDO,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
DEFENSORIA DEL PUEBLO,Jurisdiccional,1,0,0,0,1,0,0,1,0,4,0,0,2,0,5,5,9,1.0,1.8
DIRECCION DE DESARROLLO SOCIAL DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE TENA,GAD Municipal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15,1,0.06666666666666667,1.0
DIRECCION DE INVESTIGACION Y DESARROLLO - DIDE,Investigacion,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,6,4,0.6666666666666666,1.0
DIRECCION DISTRITAL 01D01 PARROQUIAS URBANAS: MACHANGARA A BELLAVISTA Y PARROQUIAS RURALES: NULTI A SAYAUSI - SALUD,Salud,0,0,0,0,0,0,0,22,0,17,0,0,0,0,32,51,39,0.6274509803921569,1.21875
DIRECCION DISTRITAL 01D01C01- CUENCA - CAÑARIBAMBA - AZUAY - MTOP,Transporte,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,1.0,1.0
DIRECCION DISTRITAL 01D02 - PARROQUIAS URBANAS SAN SEBASTIAN A MONAY Y PARROQUIAS RURALES BAÑOS A SANTA ANA,Direccion Distrital,0,0,0,0,0,0,0,1,0,4,0,0,0,0,4,4,5,1.0,1.25
DIRECCION DISTRITAL 01D02 - PARROQUIAS URBANAS: SAN SEBASTIAN A MONAY Y PARROQUIAS RURALES: BAÑOS A SANTA ANA - SALUD,Salud,0,0,0,0,0,0,0,14,0,8,0,0,0,0,21,26,22,0.8076923076923077,1.0476190476190477
DIRECCION DISTRITAL 01D03-GIRON A SANTA ISABEL-EDUCACION,Educacion,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
DIRECCION DISTRITAL 01D04 - CHORDELEG - GUALACEO - SALUD,Salud,0,0,0,0,0,0,0,30,0,21,0,0,0,0,41,49,51,0.8367346938775511,1.2439024390243902
DIRECCION DISTRITAL 01D04- CHORDELEG GUALACEO-EDUCACION,Educacion,0,0,0,0,0,0,0,20,0,1,0,0,0,0,21,82,21,0.25609756097560976,1.0
DIRECCION DISTRITAL 01D05 - NABON - OÑA - SALUD,Salud,0,0,0,0,0,0,0,11,0,15,0,0,0,0,21,26,26,0.8076923076923077,1.2380952380952381
DIRECCION DISTRITAL 01D07-CAMILO PONCE ENRIQUEZ-SALUD,Salud,0,0,0,0,0,0,0,4,0,3,0,0,0,0,5,5,7,1.0,1.4
DIRECCION DISTRITAL 02D01- GUARANDA-SALUD,Salud,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,1.0,1.0
DIRECCION DISTRITAL 02D01-GUARANDA-BOLIVAR-MTOP,Transporte,2,0,0,0,0,0,0,1,0,7,0,0,2,0,7,7,12,1.0,1.7142857142857142
DIRECCION DISTRITAL 02D02 CHILLANES EDUCACION,Educacion,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,1.0,1.0
DIRECCION DISTRITAL 02D03 -CHIMBO - SAN MIGUEL -SALUD,Salud,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,11,10,0.9090909090909091,1.0
DIRECCION DISTRITAL 03D01 -AZOGUES-BIBLIAN-DELEG-SALUD,Salud,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,1.0,2.0
DIRECCION DISTRITAL 03D02 CAÑAR-EL TAMBO- SUSCAL-SALUD,Salud,0,0,0,0,0,0,0,13,0,14,0,0,0,0,22,25,27,0.88,1.2272727272727273
DIRECCION DISTRITAL 03D03 - LA TRONCAL - EDUCACION,Educacion,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
DIRECCION DISTRITAL 03D03- LA TRONCAL- SALUD,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0.5,1.0
DIRECCION DISTRITAL 04D01-SAN PEDRO DE HUACA-TULCAN-MAG,Agricultura y Ganaderia,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,1.0,2.0
DIRECCION DISTRITAL 04D01-SAN PEDRO DE HUACA-TULCAN-MIES,Bienestar Social,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,3,4,0.6666666666666666,2.0
DIRECCION DISTRITAL 04D02 MONTUFAR-BOLIVAR-SALUD,Salud,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,7,5,0.7142857142857143,1.0
DIRECCION DISTRITAL 04D03 - ESPEJO - MIRA - SALUD,Salud,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,1.0,1.0
DIRECCION DISTRITAL 05D01 LATACUNGA MIES,Bienestar Social,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
DIRECCION DISTRITAL 05D01 LATACUNGA-COTOPAXI-MTOP,Transporte,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,1.0,1.0
DIRECCION DISTRITAL 05D03-PANGUA-SALUD,Salud,0,0,0,0,0,0,0,3,0,11,0,0,0,0,12,25,14,0.48,1.1666666666666667
DIRECCION DISTRITAL 05D04 -PUJILI-SAQUISILI-SALUD,Salud,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,1.0,1.0
DIRECCION DISTRITAL 05D06-SALCEDO-SALUD,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
DIRECCION DISTRITAL 06D01-CHAMBO-RIOBAMBA-SALUD,Salud,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,1.0,2.0
DIRECCION DISTRITAL 06D04 COLTA GUAMOTE SALUD,Salud,0,0,0,0,0,0,0,1,0,10,0,0,0,0,10,10,11,1.0,1.1
DIRECCION DISTRITAL 06D05 GUANO PENIPE SALUD,Salud,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,5,1.0,1.0
DIRECCION DISTRITAL 07D02-MACHALA-MIES,Bienestar Social,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,1.0,1.0
DIRECCION DISTRITAL 07D02-MACHALA-SALUD,Salud,0,0,0,0,0,0,0,7,0,14,0,0,0,0,16,21,21,0.7619047619047619,1.3125
DIRECCION DISTRITAL 07D03-ATAHUALPA-PORTOVELO-ZARUMA-SALUD,Salud,0,0,0,0,0,0,0,14,0,15,0,0,0,0,21,23,29,0.9130434782608695,1.380952380952381
DIRECCION DISTRITAL 07D04-BALSAS-MARCABELI-PIÑAS-MIES,Bienestar Social,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,1.0,1.0
DIRECCION DISTRITAL 07D05-ARENILLAS-HUAQUILLAS-LAS LAJAS-SALUD,Salud,0,0,0,0,0,0,0,11,0,14,0,0,0,0,18,27,25,0.6666666666666666,1.3888888888888888
DIRECCION DISTRITAL 07D06-SANTA ROSA-SALUD,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
DIRECCION DISTRITAL 08D01 - ESMERALDAS - MIES,Bienestar Social,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,2,0.5,1.0
DIRECCION DISTRITAL 08D01-ESMERALDAS-ESMERALDAS-MTOP,Transporte,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,4,3,0.75,1.0
DIRECCION DISTRITAL 08D02-ELOY ALFARO-EDUCACION,Educacion,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,10,6,0.6,1.0
DIRECCION DISTRITAL 08D03 -MUISNE - ATACAMES -SALUD,Salud,0,0,0,0,0,0,0,2,0,9,0,0,0,0,9,13,11,0.6923076923076923,1.2222222222222223
DIRECCION DISTRITAL 08D04 - QUININDE - SALUD,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0.5,1.0
DIRECCION DISTRITAL 08D05 SAN LORENZO - MIES,Bienestar Social,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,1.0,1.0
DIRECCION DISTRITAL 08D06 - RIO VERDE - SALUD,Salud,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,2,0.5,1.0
DIRECCION DISTRITAL 09D03 - GARCIA MORENO A ROCA - SALUD,Salud,0,0,0,0,0,0,0,6,0,10,0,0,0,0,12,12,16,1.0,1.3333333333333333
DIRECCION DISTRITAL 09D03 - PARROQUIAS URBANAS (GARCIA MORENO A ROCA) - EDUCACION,Educacion,0,0,0,0,0,0,0,1,0,10,0,0,0,0,11,24,11,0.4583333333333333,1.0
"DIRECCION DISTRITAL 09D05-TARQUI-1, TENGEL-SALUD",Salud,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1.0,1.0
DIRECCION DISTRITAL 09D06 TARQUI 2 - EDUCACION,Educacion,0,0,0,0,0,0,0,3,0,13,0,0,0,0,15,19,16,0.7894736842105263,1.0666666666666667
DIRECCION DISTRITAL 09D07-PASCUALES-1-SALUD,Salud,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,11,5,0.45454545454545453,1.0
DIRECCION DISTRITAL 09D08 PASCUALES 2 SALUD,Salud,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,6,5,0.8333333333333334,1.0
DIRECCION DISTRITAL 09D11-ALFREDO BAQUERIZO MORENO-SIMON BOLIVAR -SALUD,Salud,0,0,0,0,0,0,0,1,0,7,0,0,0,0,7,9,8,0.7777777777777778,1.1428571428571428
DIRECCION DISTRITAL 09D15-EL EMPALME-SALUD,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0.5,1.0
DIRECCION DISTRITAL 09D17 - MILAGRO - MIES,Bienestar Social,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,7,7,1.0,1.0
DIRECCION DISTRITAL 09D19 - DAULE - NOBOL - SANTA LUCIA - SALUD,Salud,0,0,0,0,0,0,0,1,0,7,0,0,0,0,7,11,8,0.6363636363636364,1.1428571428571428
DIRECCION DISTRITAL 09D20 SALITRE MIES,Bienestar Social,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
DIRECCION DISTRITAL 09D21 SAN JACINTO DE YAGUACHI - EDUCACION,Educacion,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,19,8,0.42105263157894735,1.0
DIRECCION DISTRITAL 09D24 - DURAN - SALUD,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
DIRECCION DISTRITAL 10 D03-COTACACHI-SALUD,Salud,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,13,10,0.7692307692307693,1.0
DIRECCION DISTRITAL 10D02 ANTONIO ANTE-OTAVALO-SALUD,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0.3333333333333333,1.0
DIRECCION DISTRITAL 11D01 LOJA-SALUD,Salud,0,0,0,0,0,0,0,23,0,16,0,0,0,0,32,36,39,0.8888888888888888,1.21875
DIRECCION DISTRITAL 11D03 - PALTAS - CATAMAYO - CHAGUARPAMBA - OLMEDO - SALUD,Salud,0,0,0,0,0,0,0,11,0,13,0,0,0,0,23,31,24,0.7419354838709677,1.0434782608695652
DIRECCION DISTRITAL 11D06 CALVAS GONZANAMA QUILANGA MIES,Bienestar Social,0,0,0,0,0,0,0,9,0,6,0,0,0,0,15,60,15,0.25,1.0
DIRECCION DISTRITAL 11D06- CALVAS-GONZANAMA-QUILANGA-SALUD,Salud,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,3,4,1.0,1.3333333333333333
DIRECCION DISTRITAL 11D09-ZAPOTILLO-SALUD,Salud,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,2,0.5,2.0
DIRECCION DISTRITAL 11DO2 CATAMAYOCHAGUARPAMBA OLMEDO EDUCACION,Educacion,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
DIRECCION DISTRITAL 12D01 - BABA - BABAHOYO - MONTALVO - SALUD,Salud,0,0,0,0,0,0,0,8,0,20,0,0,0,0,25,37,28,0.6756756756756757,1.12
DIRECCION DISTRITAL 12D01-BABA-BABAHOYO-MONTALVO- LOS RIOS-MTOP,Transporte,1,0,0,1,0,0,0,0,0,3,0,0,2,0,3,3,7,1.0,2.3333333333333335
DIRECCION DISTRITAL 12D02 - PUEBLOVIEJO - URDANETA - SALUD,Salud,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,2,0.25,2.0
DIRECCION DISTRITAL 12D03 - MOCACHE - QUEVEDO - MIES,Bienestar Social,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,23,8,0.34782608695652173,1.0
DIRECCION DISTRITAL 12D03 QUEVEDO - MOCACHE SALUD,Salud,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,1.0,1.0
DIRECCION DISTRITAL 12D05-PALENQUE-VINCES-SALUD,Salud,0,0,0,0,0,0,0,2,0,8,0,0,0,0,8,8,10,1.0,1.25
DIRECCION DISTRITAL 13D01 - PORTOVIEJO - MANABI -MTOP,Transporte,0,0,0,0,0,1,0,1,0,9,0,0,1,0,9,18,12,0.5,1.3333333333333333
DIRECCION DISTRITAL 13D02 - JARAMIJO - MANTA - MONTECRISTI - MIES,Bienestar Social,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,1.0,1.0
DIRECCION DISTRITAL 13D02 JARAMIJO-MANTA-MONTECRISTI-EDUCACION,Educacion,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,9,8,0.8888888888888888,1.0
DIRECCION DISTRITAL 13D03 -JIPIJAPA-PUERTO LOPEZ-SALUD,Salud,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,1.0,1.0
DIRECCION DISTRITAL 13D10 JAMA-PEDERNALES-MIES,Bienestar Social,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
DIRECCION DISTRITAL 13D10-JAMA-PEDERNALES-EDUCACION,Educacion,0,0,0,1,0,1,0,1,0,3,0,0,0,0,3,3,6,1.0,2.0
DIRECCION DISTRITAL 13D11 - SAN VICENTE - SUCRE - SALUD,Salud,0,0,0,0,0,0,0,1,0,5,0,0,0,0,5,5,6,1.0,1.2
DIRECCION DISTRITAL 14D01-MORONA-MIES,Bienestar Social,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,17,9,0.5294117647058824,1.0
DIRECCION DISTRITAL 14D01-MORONA-SALUD,Salud,0,0,0,0,0,0,0,5,0,8,0,0,0,0,11,16,13,0.6875,1.1818181818181819
DIRECCION DISTRITAL 14D01C05 - MACAS - MORONA SANTIAGO - MTOP,Transporte,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,1.0,2.0
DIRECCION DISTRITAL 14D02-HUAMBOYA-PABLO SEXTO-PALORA-SALUD,Salud,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,2,0.6666666666666666,1.0
DIRECCION DISTRITAL 14D03 - LOGROÑO - SUCUA - SALUD,Salud,0,0,0,0,0,0,0,16,0,17,0,0,0,0,28,32,33,0.875,1.1785714285714286
DIRECCION DISTRITAL 14D03- LOGROÑO- SUCUA - EDUCACION,Educacion,0,0,0,0,0,0,0,4,0,11,0,0,0,0,11,18,15,0.6111111111111112,1.3636363636363635
DIRECCION DISTRITAL 14D04 GUALAQUIZA SAN JUAN BOSCO EDUCACION,Educacion,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,25,18,0.72,1.0
DIRECCION DISTRITAL 14D06 - LIMON INDANZA - SANTIAGO TIWINTZA - SALUD,Salud,0,0,0,0,0,0,0,15,0,17,0,0,0,0,26,33,32,0.7878787878787878,1.2307692307692308
DIRECCION DISTRITAL 15D02 - EL CHACO - QUIJOS - SALUD,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
DIRECCION DISTRITAL 15D02 -ELCHACO-QUIJOS-EDUCACION,Educacion,2,0,0,0,0,0,0,4,0,29,0,0,0,0,31,129,35,0.24031007751937986,1.1290322580645162
DIRECCION DISTRITAL 16D01 - PASTAZA - MERA - SANTA CLARA - SALUD,Salud,0,0,0,0,0,0,0,9,0,15,0,0,0,0,19,21,24,0.9047619047619048,1.263157894736842
DIRECCION DISTRITAL 16D01C01-PUYO-PASTAZA-MTOP,Transporte,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,4,1.0,4.0
DIRECCION DISTRITAL 17D02 PARROQUIAS RURALES CALDERON A GUAYLLABAMBA MIES,Bienestar Social,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,1.0,1.0
DIRECCION DISTRITAL 17D02-CALDERON-LLANO CHICO-GUAYLLABAMBA-PICHINCHA-MTOP,Transporte,0,0,0,0,0,0,0,6,0,2,0,0,0,0,6,33,8,0.18181818181818182,1.3333333333333333
DIRECCION DISTRITAL 17D02-PARROQUIAS RURALES:(CALDERON-LLANO CHICO-GUAYLLABAMBA)-EDUCACION,Educacion,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
DIRECCION DISTRITAL 17D03,Direccion Distrital,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,1.0,1.0
DIRECCION DISTRITAL 17D04 PARROQUIAS URBANAS PUENGASI A ITCHIMBIA EDUCACION,Educacion,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,1.0,1.0
DIRECCION DISTRITAL 17D05 LA CONCEPCION A ZAMBIZA SALUD,Salud,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,20,7,0.35,1.0
DIRECCION DISTRITAL 17D05 PARROQUIAS URBANAS (LA CONCEPCION A JIPIJAPA) Y PARROQUIAS RURALES (NAYON ZAMBIZA) MIES,Bienestar Social,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,24,13,0.5416666666666666,1.0
DIRECCION DISTRITAL 17D06 CHILIBULO A LLOA SALUD,Salud,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,1.0,1.0
